3,7
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_24)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_28)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_31)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_35)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_39)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_42)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_46)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_49)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_53)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_32_57)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_33_00)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_33_04)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_34_23)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_34_33)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_34_41)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_34_45)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_34_49)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_34_54)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_34_58)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_35_02)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_35_06)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_35_11)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_35_15)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0001/05_0001_(10_03_21_20_35_20)_c,اسم الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_45_36)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_45_40)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_45_45)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_45_49)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_45_53)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_45_57)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_46_02)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_46_06)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_46_10)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_46_14)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_46_18)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_46_23)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_50_04)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_50_14)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_50_24)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_50_42)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_50_47)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_50_52)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_50_57)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_51_02)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_51_07)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_51_12)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_51_17)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0002/05_0002_(10_03_21_20_51_22)_c,حمد الله
/home/eye/ArSL-Continuous/80/color/05/train/0003/05_0003_(10_03_21_21_11_16)_c,جميع الصم عرب  سامع
/home/eye/ArSL-Continuous/80/color/05/train/0003/05_0003_(10_03_21_21_11_26)_c,جميع الصم عرب  سامع
/home/eye/ArSL-Continuous/80/color/05/train/0003/05_0003_(10_03_21_21_11_37)_c,جميع الصم عرب  سامع
/home/eye/ArSL-Continuous/80/color/05/train/0003/05_0003_(10_03_21_21_11_48)_c,جميع الصم عرب  سامع
/home/eye/ArSL-Continuous/80/color/05/train/0003/05_0003_(10_03_21_21_12_08)_c,جميع الصم عرب  سامع
